No., Instance, NV, TD     , Avg/Run
  1, RCdp1001,  3,  348.98, 2m59s
  2, RCdp5001,  9,  996.35, 21m56s
  3, RCdp5007,  7,  816.88, 23m44s
  4, RCdp5004,  6,  747.47, 24m39s
  5, RCdp101 , 15, 1707.34, 53m49s
  6, Cdp103  , 10,  939.22, 1h19m40s
  7, Rcdp205 ,  4, 1427.4 , 2h58m50s
  8, Rdp210  ,  3, 1033.36, 4h9m50s
  9, Rcdp207 ,  3, 1133.68, 3h55m14s
 10, Rcdp202 ,  4, 1282.59, 3h18m04s
 11, Rdp103  , 14, 1262.56, 1h08m04s
 12, cdp104  , 10,  898.9 , 1h17m59s
 13, cdp102  , 10,  997.62, 1h13m59s
 14, rdp203  ,  3, 1006.19, 5h25m46s
 15, rcdp104 , 11, 1211.97, 1h11m42s
