No.	Instance	"Số khách 
(Size)"	fullGPU_SA_RCRS_GRASP - Python 		
			NV	TD	Avg/Run (s)
1	RCdp1001	10	3	348.98	1.7
2	RCdp5001	50	9	994.18	27.9
3	RCdp5007	50	7	811.08	29.73
4	RCdp5004	50	6	733.2	31.07
5	RCdp101	100	15	1670.31	121.17
6	Cdp103	100	10	932.777	121.07
7	Rcdp205	100	4	1332.86	467.2
8	Rdp210	100	3	959.98	584.6
9	Rcdp207	100	3	1108.94	483.76
10	Rcdp202	100	4	1176.99	584
11	Rdp103	100	13	1382.69	152.2
12	cdp104	100	10	897.06	120.27
13	cdp102	100	10	959.47	116.9
14	rdp203	100	3	947.06	662.9
15	rcdp104	100	11	1191.72	143.73
