4018.9s 1 Applying LS move: opt=oropt_single, delta=-3.8850, current_len=4
4018.9s 2 Applying LS move: opt=2opt*, delta=-2.3239, current_len=4
4018.9s 3 Applying LS move: opt=oropt_single, delta=-7.4164, current_len=4
4018.9s 4 Applying LS move: opt=oropt_single, delta=-6.2208, current_len=4
4019.3s 5 Applying LS move: opt=2opt*, delta=-5.5839, current_len=4
4019.3s 6 Applying LS move: opt=oropt_single, delta=-7.7330, current_len=4
4019.3s 7 Applying LS move: opt=2exchange, delta=-3.1375, current_len=4
4019.3s 8 Applying LS move: opt=2opt*, delta=-2.5318, current_len=4
4019.3s 9 Applying LS move: opt=oropt_single, delta=-2.7650, current_len=4
4019.3s 10 Applying LS move: opt=oropt_single, delta=-3.1714, current_len=4
4019.3s 11 Applying LS move: opt=2exchange, delta=-2.0429, current_len=4
4019.3s 12 Applying LS move: opt=2exchange, delta=-3.6933, current_len=4
4019.3s 13 Applying LS move: opt=oropt_single, delta=-1.6483, current_len=4
4019.3s 14 Applying LS move: opt=2opt*, delta=-10.6528, current_len=4
4019.3s 15 Applying LS move: opt=oropt_single, delta=-4.8148, current_len=4
4019.3s 16 Applying LS move: opt=2opt, delta=-2.8523, current_len=4
4019.3s 17 Applying LS move: opt=oropt_single, delta=-3.2074, current_len=4
4019.3s 18 Applying LS move: opt=2opt, delta=-1.3541, current_len=4
4019.3s 19 Applying LS move: opt=oropt_single, delta=-0.4964, current_len=4
4019.3s 20 Applying LS move: opt=2exchange, delta=-5.9727, current_len=4
4019.3s 21 Applying LS move: opt=2exchange, delta=-2.8613, current_len=4
4019.3s 22 Applying LS move: opt=2exchange, delta=-0.9760, current_len=4
4019.3s 23 Applying LS move: opt=2opt, delta=-2.9781, current_len=4
4019.3s 24 Applying LS move: opt=2opt, delta=-0.5371, current_len=4
4019.3s 25 Applying LS move: opt=2exchange, delta=-0.3859, current_len=4
4019.3s 26 Stagnation detected. Diversifying 40% of non-elite population.
4019.3s 27 Gen: 800. a 0.4020, p_hybrid 0.1500, accepted 26. Avg 24990.9454, Best 2048.0833, Worst 47357.1977, Best vehicles 1
4019.3s 28 Gen 800 done, no improvement for 0 gens, already consumed 524 sec
4019.3s 29 Periodic deep local search on global best.
4019.3s 30 Applying LS move: opt=2exchange, delta=-55.1879, current_len=4
4019.3s 31 Applying LS move: opt=2opt*, delta=-52.6957, current_len=4
4019.3s 32 Applying LS move: opt=2exchange, delta=-52.3008, current_len=4
4019.3s 33 Applying LS move: opt=2exchange, delta=-34.1292, current_len=4
4019.3s 34 Applying LS move: opt=2opt*, delta=-33.8868, current_len=4
4019.3s 35 Applying LS move: opt=2exchange, delta=-33.1147, current_len=4
4019.3s 36 Applying LS move: opt=2opt*, delta=-31.9773, current_len=4
4019.3s 37 Applying LS move: opt=2opt*, delta=-25.9508, current_len=4
4019.3s 38 Applying LS move: opt=2exchange, delta=-23.2299, current_len=4
4019.3s 39 Applying LS move: opt=oropt_single, delta=-39.1414, current_len=4
4019.3s 40 Applying LS move: opt=2opt*, delta=-21.1720, current_len=4
4019.3s 41 Applying LS move: opt=2exchange, delta=-20.0025, current_len=4
4019.3s 42 Applying LS move: opt=2opt*, delta=-18.2742, current_len=4
4019.3s 43 Applying LS move: opt=oropt_single, delta=-23.9668, current_len=4
4019.3s 44 Applying LS move: opt=2exchange, delta=-16.4265, current_len=4
4019.3s 45 Applying LS move: opt=2opt*, delta=-26.5793, current_len=4
4019.3s 46 Applying LS move: opt=2opt*, delta=-24.8970, current_len=4
4019.3s 47 Applying LS move: opt=2exchange, delta=-22.0354, current_len=4
4019.3s 48 Applying LS move: opt=2opt*, delta=-15.4670, current_len=4
4019.3s 49 Applying LS move: opt=oropt_single, delta=-37.6925, current_len=4
4019.3s 50 Applying LS move: opt=2opt*, delta=-14.0192, current_len=4
4019.3s 51 Applying LS move: opt=oropt_single, delta=-13.9956, current_len=4
4019.3s 52 Applying LS move: opt=2exchange, delta=-13.3711, current_len=4
4019.3s 53 Applying LS move: opt=oropt_single, delta=-11.9852, current_len=4
4019.3s 54 Applying LS move: opt=2exchange, delta=-9.6483, current_len=4
4019.3s 55 Applying LS move: opt=oropt_single, delta=-9.4303, current_len=4
4019.3s 56 Applying LS move: opt=2opt*, delta=-23.9279, current_len=4
4019.3s 57 Applying LS move: opt=oropt_single, delta=-9.7845, current_len=4
4019.3s 58 Applying LS move: opt=oropt_single, delta=-9.1321, current_len=4
4019.3s 59 Applying LS move: opt=2opt, delta=-9.1912, current_len=4
4019.3s 60 Applying LS move: opt=2opt*, delta=-8.6001, current_len=4
4019.3s 61 Applying LS move: opt=2opt*, delta=-12.7723, current_len=4
4019.3s 62 Applying LS move: opt=oropt_single, delta=-11.2360, current_len=4
4019.3s 63 Applying LS move: opt=oropt_single, delta=-8.1206, current_len=4
4019.3s 64 Applying LS move: opt=oropt_single, delta=-7.0521, current_len=4
4019.3s 65 Applying LS move: opt=2opt*, delta=-6.3280, current_len=4
4019.3s 66 Applying LS move: opt=2exchange, delta=-19.3138, current_len=4
4019.3s 67 Applying LS move: opt=2opt, delta=-5.3209, current_len=4
4019.3s 68 Applying LS move: opt=2opt*, delta=-5.1103, current_len=4
4019.3s 69 Applying LS move: opt=oropt_single, delta=-4.9673, current_len=4
4019.3s 70 Applying LS move: opt=2opt, delta=-7.1235, current_len=4
4019.6s 71 Applying LS move: opt=oropt_single, delta=-3.1924, current_len=4
4019.6s 72 Applying LS move: opt=2exchange, delta=-2.3735, current_len=4
4019.6s 73 Applying LS move: opt=2opt, delta=-5.7351, current_len=4
4019.7s 74 Applying LS move: opt=2exchange, delta=-4.7800, current_len=4
4019.7s 75 Applying LS move: opt=oropt_single, delta=-3.8850, current_len=4
4019.7s 76 Applying LS move: opt=2opt*, delta=-2.3239, current_len=4
4019.7s 77 Applying LS move: opt=oropt_single, delta=-7.4164, current_len=4
4019.7s 78 Applying LS move: opt=oropt_single, delta=-6.2208, current_len=4
4019.7s 79 Applying LS move: opt=2opt*, delta=-5.5839, current_len=4
4019.7s 80 Applying LS move: opt=oropt_single, delta=-7.7330, current_len=4
4019.7s 81 Applying LS move: opt=2exchange, delta=-3.1375, current_len=4
4019.7s 82 Applying LS move: opt=2opt*, delta=-2.5318, current_len=4
4019.7s 83 Applying LS move: opt=oropt_single, delta=-2.7650, current_len=4
4019.7s 84 Applying LS move: opt=oropt_single, delta=-3.1714, current_len=4
4019.7s 85 Applying LS move: opt=2exchange, delta=-2.0429, current_len=4
4019.7s 86 Applying LS move: opt=2exchange, delta=-3.6933, current_len=4
4019.7s 87 Applying LS move: opt=oropt_single, delta=-1.6483, current_len=4
4019.7s 88 Applying LS move: opt=2opt*, delta=-10.6528, current_len=4
4019.7s 89 Applying LS move: opt=oropt_single, delta=-4.8148, current_len=4
4019.7s 90 Applying LS move: opt=2opt, delta=-2.8523, current_len=4
4019.7s 91 Applying LS move: opt=oropt_single, delta=-3.2074, current_len=4
4019.7s 92 Applying LS move: opt=2opt, delta=-1.3541, current_len=4
4019.7s 93 Applying LS move: opt=oropt_single, delta=-0.4964, current_len=4
4019.7s 94 Applying LS move: opt=2exchange, delta=-5.9727, current_len=4
4019.7s 95 Applying LS move: opt=2exchange, delta=-2.8613, current_len=4
4019.7s 96 Applying LS move: opt=2exchange, delta=-0.9760, current_len=4
4019.7s 97 Applying LS move: opt=2opt, delta=-2.9781, current_len=4
4019.7s 98 Applying LS move: opt=2opt, delta=-0.5371, current_len=4
4019.7s 99 Applying LS move: opt=2exchange, delta=-0.3859, current_len=4
4019.7s 100 Gen: 825. a 0.3520, p_hybrid 0.1500, accepted 26. Avg 24297.1038, Best 2048.0833, Worst 47313.1665, Best vehicles 1
4019.7s 101 Gen 825 done, no improvement for 25 gens, already consumed 525 sec
4019.7s 102 Periodic deep local search on global best.
4019.7s 103 Applying LS move: opt=2exchange, delta=-55.1879, current_len=4
4019.7s 104 Applying LS move: opt=2opt*, delta=-52.6957, current_len=4
4019.7s 105 Applying LS move: opt=2exchange, delta=-52.3008, current_len=4
4019.7s 106 Applying LS move: opt=2exchange, delta=-34.1292, current_len=4
4019.7s 107 Applying LS move: opt=2opt*, delta=-33.8868, current_len=4
4019.7s 108 Applying LS move: opt=2exchange, delta=-33.1147, current_len=4
